id,value
Basic Industries|Forest Products|Koppers Holdings Inc. Koppers Holdings Inc. Common Stock(KOP)(0.726),0.726
Basic Industries|Forest Products|Louisiana-Pacific Corporation Common Stock(LPX)(4.91),4.91
Basic Industries|Forest Products|Masonite International Corporation Ordinary Shares (Canada)(DOOR)(2.57),2.57
Basic Industries|Forest Products|Trex Company Inc. Common Stock(TREX)(11.9),11.9
Basic Industries|Forest Products|UFP Industries Inc. Common Stock(UFPI)(3.63),3.63
Basic Industries|Forest Products|West Fraser Timber Co. Ltd Common stock(WFG)(8.46),8.46
Basic Industries|General Bldg Contractors - Nonresidential Bldgs|Tutor Perini Corporation Common Stock(TPC)(0.889),0.889
Basic Industries|Home Furnishings|CSW Industrials Inc. Common Stock(CSWI)(2.01),2.01
Basic Industries|Home Furnishings|H. B. Fuller Company Common Stock(FUL)(2.92),2.92
Basic Industries|Homebuilding|Cavco Industries Inc. Common Stock When Issued(CVCO)(1.97),1.97
Basic Industries|Homebuilding|Installed Building Products Inc. Common Stock(IBP)(3.56),3.56
Basic Industries|Homebuilding|Legacy Housing Corporation Common Stock (TX)(LEGH)(0.393),0.393
Basic Industries|Homebuilding|Lennar Corporation Class A Common Stock(LEN)(27.0),27.0
Basic Industries|Homebuilding|Select Interior Concepts Inc. Class A Common Stock(SIC)(0.228),0.228
Basic Industries|Homebuilding|Skyline Champion Corporation Common Stock(SKY)(2.45),2.45
Basic Industries|Homebuilding|Xinyuan Real Estate Co Ltd American Depositary Shares(XIN)(0.192),0.192
Basic Industries|Major Chemicals|AdvanSix Inc. Common Stock(ASIX)(0.745),0.745
Basic Industries|Major Chemicals|Advanced Emissions Solutions Inc. Common Stock(ADES)(0.111),0.111
Basic Industries|Major Chemicals|Aemetis Inc. Common Stock(AMTX)(0.174),0.174
Basic Industries|Major Chemicals|Air Products and Chemicals Inc. Common Stock(APD)(58.1),58.1
Basic Industries|Major Chemicals|Albemarle Corporation Common Stock(ALB)(16.5),16.5
Basic Industries|Major Chemicals|Alto Ingredients Inc. Common Stock(ALTO)(0.475),0.475
Basic Industries|Major Chemicals|Amyris Inc. Common Stock(AMRS)(3.4),3.4
Basic Industries|Major Chemicals|Atotech Limited Common Shares(ATC)(3.73),3.73
Basic Industries|Major Chemicals|Avient Corporation Common Stock(AVNT)(3.94),3.94
Basic Industries|Major Chemicals|Balchem Corporation Common Stock(BCPC)(3.73),3.73
Basic Industries|Major Chemicals|Braskem SA ADR(BAK)(4.44),4.44
Basic Industries|Major Chemicals|CN Energy Group Inc. Ordinary Shares(CNEY)(0.108),0.108
Basic Industries|Major Chemicals|Cabot Corporation Common Stock(CBT)(2.75),2.75
Basic Industries|Major Chemicals|Celanese Corporation Celanese Corporation Common Stock(CE)(15.0),15.0
Basic Industries|Major Chemicals|Chemours Company (The) Common Stock(CC)(4.1),4.1
Basic Industries|Major Chemicals|Codexis Inc. Common Stock(CDXS)(1.57),1.57
Basic Industries|Major Chemicals|Cyclo Therapeutics Inc. Common Stock(CYTH)(0.0403),0.0403
Basic Industries|Major Chemicals|Cyclo Therapeutics Inc. Warrant(CYTHW)(0.0),0.0
Basic Industries|Major Chemicals|Danimer Scientific Inc. Common Stock(DNMR)(3.76),3.76
Basic Industries|Major Chemicals|Dow Inc. Common Stock(DOW)(42.8),42.8
Basic Industries|Major Chemicals|DuPont de Nemours Inc. Common Stock(DD)(37.0),37.0
Basic Industries|Major Chemicals|Eastman Chemical Company Common Stock(EMN)(14.7),14.7
Basic Industries|Major Chemicals|Element Solutions Inc. Common Stock(ESI)(4.25),4.25
Basic Industries|Major Chemicals|FMC Corporation Common Stock(FMC)(13.6),13.6
Basic Industries|Major Chemicals|Flexible Solutions International Inc. Common Stock (CDA)(FSI)(0.0472),0.0472
Basic Industries|Major Chemicals|Flotek Industries Inc. Common Stock(FTK)(0.164),0.164
Basic Industries|Major Chemicals|FutureFuel Corp.  Common shares(FF)(0.652),0.652
Basic Industries|Major Chemicals|GCP Applied Technologies Inc. Common Stock(GCP)(1.87),1.87
Basic Industries|Major Chemicals|Gevo Inc. Common Stock(GEVO)(1.64),1.64
Basic Industries|Major Chemicals|Green Plains Inc. Common Stock(GPRE)(0.935),0.935
Basic Industries|Major Chemicals|Green Plains Partners LP Common Units(GPP)(0.227),0.227
Basic Industries|Major Chemicals|Gulf Resources Inc. (NV) Common Stock(GURE)(0.046),0.046
Basic Industries|Major Chemicals|Hexcel Corporation Common Stock(HXL)(4.21),4.21
Basic Industries|Major Chemicals|Huntsman Corporation Common Stock(HUN)(6.24),6.24
Basic Industries|Major Chemicals|Ingevity Corporation Common Stock(NGVT)(2.86),2.86
Basic Industries|Major Chemicals|Innospec Inc. Common Stock(IOSP)(2.38),2.38
Basic Industries|Major Chemicals|Internationa Flavors & Fragrances Inc. Common Stock(IFF)(34.3),34.3
Basic Industries|Major Chemicals|International Flavors & Fragrances Inc. 6.00% Tangible Equity Units(IFFT)(0.0),0.0
Basic Industries|Major Chemicals|Kraton Corporation Common Stock(KRA)(1.17),1.17
Basic Industries|Major Chemicals|Kronos Worldwide Inc Common Stock(KRO)(1.62),1.62
Basic Industries|Major Chemicals|LSB Industries Inc. Common Stock(LXU)(0.117),0.117
Basic Industries|Major Chemicals|Linde plc Ordinary Share(LIN)(131.0),131.0
Basic Industries|Major Chemicals|Livent Corporation Common Stock(LTHM)(2.98),2.98
Basic Industries|Major Chemicals|Loop Industries Inc. Common Stock(LOOP)(0.443),0.443
Basic Industries|Major Chemicals|Luxfer Holdings PLC Ordinary Shares(LXFR)(0.502),0.502
Basic Industries|Major Chemicals|LyondellBasell Industries NV Ordinary Shares Class A (Netherlands)(LYB)(31.7),31.7
Basic Industries|Major Chemicals|Methanex Corporation Common Stock(MEOH)(2.79),2.79
Basic Industries|Major Chemicals|Minerals Technologies Inc. Common Stock(MTX)(2.31),2.31
Basic Industries|Major Chemicals|NL Industries Inc. Common Stock(NL)(0.245),0.245
Basic Industries|Major Chemicals|NewMarket Corp Common Stock(NEU)(4.25),4.25
Basic Industries|Major Chemicals|Olin Corporation Common Stock(OLN)(4.44),4.44
Basic Industries|Major Chemicals|Orion Engineered Carbons S.A Common Shares(OEC)(0.974),0.974
Basic Industries|Major Chemicals|PQ Group Holdings Inc. Common Stock(PQG)(2.11),2.11
Basic Industries|Major Chemicals|Quaker Chemical Corporation Common Stock(KWR)(5.09),5.09
Basic Industries|Major Chemicals|REX American Resources Corporation(REX)(0.533),0.533
Basic Industries|Major Chemicals|Renewable Energy Group Inc. Common Stock(REGI)(3.68),3.68
Basic Industries|Major Chemicals|Rogers Corporation Common Stock(ROG)(3.18),3.18
Basic Industries|Major Chemicals|SINOPEC Shangai Petrochemical Company Ltd. Common Stock(SHI)(2.63),2.63
Basic Industries|Major Chemicals|Sealed Air Corporation Common Stock(SEE)(6.65),6.65
Basic Industries|Major Chemicals|Sensient Technologies Corporation Common Stock(SXT)(3.31),3.31
Basic Industries|Major Chemicals|TOMI Environmental Solutions Inc. Common Stock(TOMZ)(0.0863),0.0863
Basic Industries|Major Chemicals|Tantech Holdings Ltd. Common Stock(TANH)(0.0563),0.0563
Basic Industries|Major Chemicals|Trinseo S.A. Ordinary Shares(TSE)(2.28),2.28
Basic Industries|Major Chemicals|Tronox Holdings plc Ordinary Shares (UK)(TROX)(2.64),2.64
Basic Industries|Major Chemicals|Valhi Inc. Common Stock(VHI)(0.495),0.495
Basic Industries|Major Chemicals|Valvoline Inc. Common Stock(VVV)(4.44),4.44
Basic Industries|Major Chemicals|Venator Materials PLC Ordinary Shares(VNTR)(0.415),0.415
Basic Industries|Major Chemicals|VerifyMe Inc. Common Stock(VRME)(0.0315),0.0315
Basic Industries|Major Chemicals|VerifyMe Inc. Warrant(VRMEW)(0.0),0.0
Basic Industries|Major Chemicals|W.R. Grace & Co. Common Stock(GRA)(3.92),3.92
Basic Industries|Major Chemicals|WD-40 Company Common Stock(WDFC)(4.37),4.37
Basic Industries|Major Chemicals|Westlake Chemical Corporation Common Stock(WLK)(10.8),10.8
Basic Industries|Major Chemicals|Westlake Chemical Partners LP Common Units representing limited partner interests(WLKP)(0.822),0.822
Basic Industries|Metal Fabrications|Aqua Metals Inc. Common Stock(AQMS)(0.36),0.36
Basic Industries|Metal Fabrications|Constellium SE Ordinary Shares (France)(CSTM)(1.89),1.89
Basic Industries|Metal Fabrications|EnPro Industries Inc(NPO)(1.52),1.52
Basic Industries|Metal Fabrications|L.B. Foster Company Common Stock(FSTR)(0.189),0.189
Basic Industries|Metal Fabrications|Olympic Steel Inc. Common Stock(ZEUS)(0.167),0.167
Basic Industries|Metal Fabrications|Reliance Steel & Aluminum Co. Common Stock (DE)(RS)(8.09),8.09
Basic Industries|Metal Fabrications|Ryerson Holding Corporation Common Stock(RYI)(0.513),0.513
Basic Industries|Military/Government/Technical|Aenza S.A.A. American Depositary Shares(AENZ)(0.392),0.392
Basic Industries|Military/Government/Technical|Construction Partners Inc. Class A Common Stock(ROAD)(1.39),1.39
Basic Industries|Military/Government/Technical|Fluor Corporation Common Stock(FLR)(2.32),2.32
Basic Industries|Military/Government/Technical|Granite Construction Incorporated Common Stock(GVA)(1.47),1.47
Basic Industries|Military/Government/Technical|Great Lakes Dredge & Dock Corporation Common Stock(GLDD)(0.954),0.954
Basic Industries|Military/Government/Technical|Jacobs Engineering Group Inc. Common Stock(J)(14.6),14.6
Basic Industries|Military/Government/Technical|KBR Inc. Common Stock(KBR)(4.53),4.53
Basic Industries|Military/Government/Technical|Orion Group Holdings Inc. Common(ORN)(0.173),0.173
Basic Industries|Military/Government/Technical|Sterling Construction Company Inc Common Stock(STRL)(0.575),0.575
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Centrus Energy Corp. Class A Common Stock(LEU)(0.297),0.297
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Ciner Resources LP Common Units representing Limited Partner Interests(CINR)(0.268),0.268
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Compass Minerals Intl Inc Common Stock(CMP)(2.16),2.16
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Energy Fuels Inc Ordinary Shares (Canada)(UUUU)(0.694),0.694
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Galiano Gold Inc.(GAU)(0.262),0.262
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Gold Standard Ventures Corporation Common Stock (Canada)(GSV)(0.236),0.236
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Hecla Mining Company Common Stock(HL)(3.01),3.01
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Hecla Mining Company Preferred Stock(HL^B)(nan),
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Intrepid Potash Inc Common Stock(IPI)(0.394),0.394
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|MDU Resources Group Inc. Common Stock (Holding Company)(MDU)(5.67),5.67
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Martin Marietta Materials Inc. Common Stock(MLM)(20.2),20.2
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Smart Sand Inc. Common Stock(SND)(0.126),0.126
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Sociedad Quimica y Minera S.A. Common Stock(SQM)(14.0),14.0
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Summit Materials Inc. Class A Common Stock(SUM)(2.62),2.62
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Teck Resources Ltd Ordinary Shares(TECK)(11.4),11.4
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|U.S. Silica Holdings Inc. Common Stock(SLCA)(0.781),0.781
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|United States Lime & Minerals Inc. Common Stock(USLM)(0.769),0.769
Basic Industries|Mining & Quarrying of Nonmetallic Minerals (No Fuels)|Vulcan Materials Company (Holding Company) Common Stock(VMC)(21.3),21.3
Basic Industries|Miscellaneous|Heritage-Crystal Clean Inc. Common Stock(HCCI)(0.604),0.604
Basic Industries|Miscellaneous|Newater Technology Inc. Ordinary Shares(NEWA)(0.0412),0.0412
Basic Industries|Other Specialty Stores|A-Mark Precious Metals Inc. Common Stock(AMRK)(0.208),0.208
Basic Industries|Package Goods/Cosmetics|Church & Dwight Company Inc. Common Stock(CHD)(20.5),20.5
Basic Industries|Package Goods/Cosmetics|Conversion Labs Inc. Common Stock(CVLB)(0.701),0.701
Basic Industries|Package Goods/Cosmetics|Ecolab Inc. Common Stock(ECL)(59.9),59.9
Basic Industries|Package Goods/Cosmetics|Procter & Gamble Company (The) Common Stock(PG)(319.0),319.0
Basic Industries|Package Goods/Cosmetics|Stepan Company Common Stock(SCL)(2.7),2.7
Basic Industries|Package Goods/Cosmetics|Unilever PLC Common Stock(UL)(146.0),146.0
Basic Industries|Paints/Coatings|Axalta Coating Systems Ltd. Common Shares(AXTA)(6.5),6.5
Basic Industries|Paints/Coatings|Ferro Corporation Common Stock(FOE)(1.24),1.24
Basic Industries|Paints/Coatings|PPG Industries Inc. Common Stock(PPG)(32.2),32.2
Basic Industries|Paints/Coatings|RPM International Inc. Common Stock(RPM)(11.0),11.0
Basic Industries|Paper|Clearwater Paper Corporation Common Stock(CLW)(0.676),0.676
Basic Industries|Paper|Domtar Corporation (NEW) Common Stock(UFS)(1.91),1.91
Basic Industries|Paper|Glatfelter Corporation Common Stock(GLT)(0.683),0.683
Basic Industries|Paper|International Paper Company Common Stock(IP)(18.8),18.8
Basic Industries|Paper|Mercer International Inc. Common Stock(MERC)(0.864),0.864
Basic Industries|Paper|Neenah Inc. Common Stock(NP)(0.907),0.907
Basic Industries|Paper|Rayonier Advanced Materials Inc. Common Stock(RYAM)(0.524),0.524
Basic Industries|Paper|Resolute Forest Products Inc. Common Stock(RFP)(0.75),0.75
Basic Industries|Paper|Schweitzer-Mauduit International Inc. Common Stock(SWM)(1.37),1.37
Basic Industries|Paper|Suzano S.A. American Depositary Shares (each representing One Ordinary Share)(SUZ)(18.5),18.5
Basic Industries|Paper|Verso Corporation Common Stock(VRS)(0.422),0.422
Basic Industries|Precious Metals|Agnico Eagle Mines Limited Common Stock(AEM)(14.8),14.8
Basic Industries|Precious Metals|Alamos Gold Inc. Class A Common Shares(AGI)(3.01),3.01
Basic Industries|Precious Metals|Alexco Resource Corp Common Shares (Canada)(AXU)(0.39),0.39
Basic Industries|Precious Metals|Almaden Minerals Ltd. Common Shares(AAU)(0.0977),0.0977
Basic Industries|Precious Metals|Americas Gold and Silver Corporation Common Shares no par value(USAS)(0.33),0.33
Basic Industries|Precious Metals|AngloGold Ashanti Limited Common Stock(AU)(8.65),8.65
Basic Industries|Precious Metals|Avino Silver & Gold Mines Ltd. Common Shares (Canada)(ASM)(0.119),0.119
Basic Industries|Precious Metals|B2Gold Corp Common shares (Canada)(BTG)(5.02),5.02
Basic Industries|Precious Metals|BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)(BHP)(192.0),192.0
Basic Industries|Precious Metals|Barrick Gold Corporation Common Stock (BC)(GOLD)(36.1),36.1
Basic Industries|Precious Metals|Buenaventura Mining Company Inc.(BVN)(2.61),2.61
Basic Industries|Precious Metals|Caledonia Mining Corporation Plc Common Shares(CMCL)(0.188),0.188
Basic Industries|Precious Metals|Cameco Corporation Common Stock(CCJ)(6.34),6.34
Basic Industries|Precious Metals|China Natural Resources Inc. Common Stock(CHNR)(0.106),0.106
Basic Industries|Precious Metals|Cleveland-Cliffs Inc. Common Stock(CLF)(8.28),8.28
Basic Industries|Precious Metals|Coeur Mining Inc. Common Stock(CDE)(2.04),2.04
Basic Industries|Precious Metals|Comstock Mining Inc. Common Stock(LODE)(0.159),0.159
Basic Industries|Precious Metals|Corvus Gold Inc. Common Shares(KOR)(0.281),0.281
Basic Industries|Precious Metals|DRDGOLD Limited American Depositary Shares(DRD)(0.802),0.802
Basic Industries|Precious Metals|Denison Mines Corp Ordinary Shares (Canada)(DNN)(0.862),0.862
Basic Industries|Precious Metals|EMX Royalty Corporation Common Shares (Canada)(EMX)(0.286),0.286
Basic Industries|Precious Metals|Eldorado Gold Corporation Ordinary Shares(EGO)(2.12),2.12
Basic Industries|Precious Metals|Endeavour Silver Corporation Ordinary Shares (Canada)(EXK)(0.907),0.907
Basic Industries|Precious Metals|Equinox Gold Corp. Common Shares(EQX)(2.2),2.2
Basic Industries|Precious Metals|Excellon Resources Inc. Common Shares(EXN)(0.0988),0.0988
Basic Industries|Precious Metals|Ferroglobe PLC Ordinary Shares(GSM)(0.536),0.536
Basic Industries|Precious Metals|First Majestic Silver Corp. Ordinary Shares (Canada)(AG)(3.88),3.88
Basic Industries|Precious Metals|Fortuna Silver Mines Inc Ordinary Shares (Canada)(FSM)(1.36),1.36
Basic Industries|Precious Metals|Franco-Nevada Corporation(FNV)(21.6),21.6
Basic Industries|Precious Metals|Freeport-McMoRan Inc. Common Stock(FCX)(49.8),49.8
Basic Industries|Precious Metals|Fury Gold Mines Limited Common Shares(FURY)(0.172),0.172
Basic Industries|Precious Metals|Gatos Silver Inc. Common Stock(GATO)(0.788),0.788
Basic Industries|Precious Metals|Gold Fields Limited American Depositary Shares(GFI)(7.66),7.66
Basic Industries|Precious Metals|Gold Resource Corporation Common Stock(GORO)(0.199),0.199
Basic Industries|Precious Metals|GoldMining Inc. Common Shares(GLDG)(0.247),0.247
Basic Industries|Precious Metals|Golden Minerals Company Common Stock(AUMN)(0.126),0.126
Basic Industries|Precious Metals|Golden Star Resources Ltd Common Stock(GSS)(0.358),0.358
Basic Industries|Precious Metals|Great Panther Mining Limited Ordinary Shares (Canada)(GPL)(0.353),0.353
Basic Industries|Precious Metals|Harmony Gold Mining Company Limited(HMY)(2.25),2.25
Basic Industries|Precious Metals|Hudbay Minerals Inc. Ordinary Shares (Canada)(HBM)(1.94),1.94
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation  Warrant(HYMCW)(0.0),0.0
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Class A Common Stock(HYMC)(0.346),0.346
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Warrant(HYMCZ)(0.0),0.0
Basic Industries|Precious Metals|Hycroft Mining Holding Corporation Warrants(HYMCL)(0.0),0.0
Basic Industries|Precious Metals|Iamgold Corporation Ordinary Shares(IAG)(1.51),1.51
Basic Industries|Precious Metals|Integra Resources Corp. Common Shares(ITRG)(0.184),0.184
Basic Industries|Precious Metals|International Tower Hill Mines Ltd. Ordinary Shares (Canada)(THM)(0.242),0.242
Basic Industries|Precious Metals|Kinross Gold Corporation Common Stock(KGC)(8.43),8.43
Basic Industries|Precious Metals|Kirkland Lake Gold Ltd. Common Shares(KL)(9.7),9.7
Basic Industries|Precious Metals|Lithium Americas Corp. Common Shares(LAC)(2.35),2.35
Basic Industries|Precious Metals|MAG Silver Corporation Ordinary Shares(MAG)(1.82),1.82
Basic Industries|Precious Metals|MP Materials Corp. Common Stock(MP)(7.23),7.23
Basic Industries|Precious Metals|Maverix Metals Inc. Common Shares(MMX)(0.684),0.684
Basic Industries|Precious Metals|McEwen Mining Inc. Common Stock(MUX)(0.533),0.533
Basic Industries|Precious Metals|Mesabi Trust Common Stock(MSB)(0.364),0.364
Basic Industries|Precious Metals|Metalla Royalty & Streaming Ltd. Common Shares(MTA)(0.382),0.382
Basic Industries|Precious Metals|New Gold Inc.(NGD)(1.04),1.04
Basic Industries|Precious Metals|Newmont Corporation(NEM)(46.1),46.1
Basic Industries|Precious Metals|Nexa Resources S.A. Common Shares(NEXA)(1.26),1.26
Basic Industries|Precious Metals|Nexgen Energy Ltd. Common Shares(NXE)(1.41),1.41
Basic Industries|Precious Metals|Northern Dynasty Minerals Ltd. Common Stock(NAK)(0.398),0.398
Basic Industries|Precious Metals|Novagold Resources Inc.(NG)(2.98),2.98
Basic Industries|Precious Metals|Orla Mining Ltd. Common Shares(ORLA)(0.863),0.863
Basic Industries|Precious Metals|Osisko Gold Royalties Ltd Common Shares(OR)(1.85),1.85
Basic Industries|Precious Metals|Pan American Silver Corp. Common Stock(PAAS)(6.73),6.73
Basic Industries|Precious Metals|Paramount Gold Nevada Corp. Common Stock(PZG)(0.0435),0.0435
Basic Industries|Precious Metals|Platinum Group Metals Ltd. Ordinary Shares (Canada)(PLG)(0.361),0.361
Basic Industries|Precious Metals|Polymet Mining Corporation Ordinary Shares (Canada)(PLM)(0.437),0.437
Basic Industries|Precious Metals|Pretium Resources Inc. Ordinary Shares (Canada)(PVG)(1.93),1.93
Basic Industries|Precious Metals|Rio Tinto Plc Common Stock(RIO)(110.0),110.0
Basic Industries|Precious Metals|Royal Gold Inc. Common Stock(RGLD)(7.1),7.1
Basic Industries|Precious Metals|SSR Mining Inc. Common Stock(SSRM)(3.31),3.31
Basic Industries|Precious Metals|Sandstorm Gold Ltd. Ordinary Shares (Canada)(SAND)(1.25),1.25
Basic Industries|Precious Metals|Seabridge Gold Inc. Ordinary Shares (Canada)(SA)(1.35),1.35
Basic Industries|Precious Metals|Sierra Metals Inc. Common Stock(SMTS)(0.448),0.448
Basic Industries|Precious Metals|SilverCrest Metals Inc. Common Shares(SILV)(1.14),1.14
Basic Industries|Precious Metals|Silvercorp Metals Inc. Common Shares(SVM)(1.05),1.05
Basic Industries|Precious Metals|Solitario Zinc Corp. Common Stock(XPL)(0.0622),0.0622
Basic Industries|Precious Metals|Southern Copper Corporation Common Stock(SCCO)(57.6),57.6
Basic Industries|Precious Metals|Tanzanian Gold Corporation Common Stock(TRX)(0.197),0.197
Basic Industries|Precious Metals|Taseko Mines Ltd. Common Stock(TGB)(0.48),0.48
Basic Industries|Precious Metals|Trilogy Metals Inc. Common Stock(TMQ)(0.356),0.356
Basic Industries|Precious Metals|Turquoise Hill Resources Ltd. Ordinary Shares(TRQ)(3.01),3.01
Basic Industries|Precious Metals|U.S. Gold Corp. Common Stock(USAU)(0.0816),0.0816
Basic Industries|Precious Metals|Ur Energy Inc Common Shares (Canada)(URG)(0.23),0.23
Basic Industries|Precious Metals|Uranium Energy Corp. Common Stock(UEC)(0.43),0.43
Basic Industries|Precious Metals|VALE S.A.  American Depositary Shares Each Representing one common share(VALE)(92.2),92.2
Basic Industries|Precious Metals|Vedanta Limited  American Depositary Shares (Each representing four equity shares)(VEDL)(9.96),9.96
Basic Industries|Precious Metals|Vista Gold Corp Common Stock(VGZ)(0.103),0.103
Basic Industries|Precious Metals|Western Copper and Gold Corporation Common Stock(WRN)(0.194),0.194
Basic Industries|Precious Metals|Westwater Resources Inc. Common Stock(WWR)(0.212),0.212
Basic Industries|Precious Metals|Wheaton Precious Metals Corp Common Shares (Canada)(WPM)(17.0),17.0
Basic Industries|Precious Metals|Yamana Gold Inc. Ordinary Shares (Canada)(AUY)(4.32),4.32
Basic Industries|Specialty Chemicals|Carlisle Companies Incorporated Common Stock(CSL)(7.96),7.96
Basic Industries|Specialty Chemicals|West Pharmaceutical Services Inc. Common Stock(WST)(21.9),21.9
Basic Industries|Specialty Chemicals|Yunhong CTI Ltd. Common Stock(CTIB)(0.0131),0.0131
Basic Industries|Steel/Iron Ore|Allegheny Technologies Incorporated Common Stock(ATI)(2.33),2.33
Basic Industries|Steel/Iron Ore|Arcelor Mittal NY Registry Shares NEW(MT)(24.3),24.3
Basic Industries|Steel/Iron Ore|ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023(MTCN)(0.0),0.0
Basic Industries|Steel/Iron Ore|Carpenter Technology Corporation Common Stock(CRS)(1.77),1.77
Basic Industries|Steel/Iron Ore|Commercial Metals Company Common Stock(CMC)(2.74),2.74
